date,pollster,publisher,sample,Likud,Together,RZP,Zehut,Otzma,Shas,UTJ,Yisrael Beiteinu,Ra'am,Joint List,Dems,Yashar,Amcha Yisrael,Zionist Home,Hadash -Ta'al,Balad,Blue & White,Yesh Atid,Bennett 2026,Likud B,Reserv.,National Unity,Meretz,Gallant,New Hope,Bennett,Cohen,Hendel & Bennett,Levin,Protest Party,Right-wing liberal party,Labor,Netanyahu,Barkat,Eisenkot,Neither,Undecided
2026-02-19,LRI+P4A,Maariv,501.0,26.0,,,,9.0,8.0,7.0,8.0,5.0,,11.0,13.0,,,5.0,,,8.0,20.0,,,,,,,,,,,,,,,,,,
2026-02-26,Yossi Tatika,Zman Yisrael,500.0,27.0,,,,8.0,10.0,8.0,10.0,6.0,,9.0,12.0,,,5.0,,,7.0,18.0,,,,,,,,,,,,,,,,,,
2026-02-26,LRI+P4A,Maariv,501.0,26.0,,,,9.0,8.0,7.0,8.0,5.0,,11.0,14.0,,,5.0,,,8.0,19.0,,,,,,,,,,,,,,,,,,
2026-02-26,Midgam R&C,HaHadashot 12,,26.0,,,,10.0,9.0,7.0,8.0,6.0,,11.0,11.0,,,4.0,,,7.0,21.0,,,,,,,,,,,,,,,,,,
2026-03-05,Yossi Tatika,Zman Yisrael,500.0,31.0,,,,6.0,9.0,7.0,10.0,5.0,,8.0,14.0,,,5.0,,4.0,6.0,15.0,,,,,,,,,,,,,,,,,,
2026-03-05,LRI+P4A,Maariv,500.0,27.0,,,,9.0,8.0,7.0,8.0,5.0,,10.0,14.0,,,5.0,,,6.0,21.0,,,,,,,,,,,,,,,,,,
2026-03-11,Midgam R&C,HaHadashot 12,,26.0,,,,9.0,9.0,7.0,9.0,5.0,,12.0,11.0,,,5.0,,,6.0,21.0,,,,,,,,,,,,,,,,,,
2026-03-12,Yossi Tatika,Zman Yisrael,500.0,29.0,,4.0,,6.0,8.0,7.0,10.0,5.0,,8.0,15.0,,,5.0,,,6.0,17.0,,,,,,,,,,,,,,,,,,
2026-03-13,LRI+P4A,Maariv,500.0,27.0,,,,8.0,8.0,7.0,8.0,5.0,,10.0,13.0,,,5.0,,,7.0,22.0,,,,,,,,,,,,,,,,,,
2026-03-19,Midgam R&C,HaHadashot 12,503.0,28.0,,,,7.0,9.0,7.0,9.0,5.0,,12.0,12.0,,,5.0,,,6.0,20.0,,,,,,,,,,,,,,,,,,
2026-03-19,Yossi Tatika,Zman Yisrael,500.0,28.0,,,,7.0,8.0,8.0,10.0,5.0,,9.0,16.0,,,5.0,,4.0,5.0,15.0,,,,,,,,,,,,,,,,,,
2026-03-20,LRI+P4A,Maariv,,28.0,,,,7.0,8.0,7.0,10.0,5.0,,10.0,11.0,,,5.0,,,8.0,21.0,,,,,,,,,,,,,,,,,,
2026-03-26,LRI+P4A,Maariv,500.0,26.0,,,,9.0,8.0,7.0,9.0,5.0,,10.0,13.0,,,5.0,,,7.0,21.0,,,,,,,,,,,,,,,,,,
2026-03-26,Yossi Tatika,Zman Yisrael,500.0,29.0,,,,7.0,9.0,8.0,10.0,5.0,,8.0,17.0,,,5.0,,,6.0,16.0,,,,,,,,,,,,,,,,,,
2026-03-29,Kantar,Kan 11,553.0,28.0,,,,8.0,9.0,8.0,9.0,5.0,,9.0,13.0,,,6.0,,,7.0,19.0,,,,,,,,,,,,,,,,,,
2026-03-31,LRI+P4A,Maariv,500.0,25.0,,,,8.0,9.0,7.0,8.0,4.0,,9.0,14.0,,,6.0,,,8.0,22.0,,,,,,,,,,,,,,,,,,
2026-04-09,Midgam R&C,HaHadashot 12,,25.0,,,,9.0,9.0,7.0,9.0,5.0,,10.0,13.0,,,5.0,,,6.0,22.0,,,,,,,,,,,,,,,,,,
2026-04-09,MM+SN,Channel 13,,22.0,,5.0,,10.0,10.0,7.0,8.0,5.0,,8.0,12.0,,,6.0,,,6.0,21.0,,,,,,,,,,,,,,,,,,
2026-04-09,Kantar,Kan 11,552.0,25.0,,,,10.0,9.0,7.0,9.0,5.0,,11.0,14.0,,,5.0,,,6.0,19.0,,,,,,,,,,,,,,,,,,
2026-04-10,LRI+P4A,Maariv,500.0,25.0,,,,8.0,9.0,7.0,9.0,5.0,,8.0,13.0,,,5.0,,,7.0,24.0,,,,,,,,,,,,,,,,,,
2026-04-16,Yossi Tatika,Zman Yisrael,500.0,28.0,,,,6.0,9.0,8.0,10.0,5.0,,9.0,16.0,,,4.0,,4.0,5.0,16.0,,,,,,,,,,,,,,,,,,
2026-04-16,Kantar,Israel Hayom,,26.0,,,,10.0,9.0,7.0,8.0,5.0,,9.0,14.0,,,6.0,,,6.0,20.0,,,,,,,,,,,,,,,,,,
2026-04-16,Midgam R&C,HaHadashot 12,,25.0,,,,10.0,9.0,7.0,9.0,5.0,,10.0,14.0,,,5.0,,,6.0,20.0,,,,,,,,,,,,,,,,,,
2026-04-17,LRI+P4A,Maariv,500.0,25.0,,,,8.0,9.0,7.0,9.0,5.0,,9.0,12.0,,,5.0,,,7.0,24.0,,,,,,,,,,,,,,,,,,
2026-04-23,Midgam R&C,HaHadashot 12,,25.0,,,,9.0,9.0,7.0,8.0,5.0,,10.0,14.0,,,5.0,,,7.0,21.0,,,,,,,,,,,,,,,,,,
2026-04-24,LRI+P4A,Maariv,502.0,24.0,,,,9.0,9.0,7.0,9.0,5.0,,9.0,12.0,,,5.0,,,7.0,24.0,,,,,,,,,,,,,,,,,,
2026-04-27,Direct Polls,i24 News,578.0,33.0,24.0,4.0,,6.0,11.0,8.0,6.0,7.0,,9.0,8.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,Kantar,Kan 11,555.0,27.0,24.0,,,9.0,9.0,7.0,8.0,5.0,,11.0,15.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,Midgam R&C,HaHadashot 12,501.0,25.0,26.0,,,9.0,9.0,7.0,9.0,5.0,,10.0,15.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,MM+SN,Channel 13,,26.0,26.0,4.0,,10.0,10.0,7.0,6.0,5.0,,8.0,12.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,LRI+P4A,Walla,500.0,28.0,27.0,,,8.0,8.0,7.0,8.0,5.0,,9.0,15.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-04-30,Kantar,Israel Hayom,,28.0,23.0,,,9.0,8.0,7.0,9.0,5.0,,9.0,16.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-04-30,Yossi Tatika,Zman Yisrael,500.0,26.0,28.0,,,7.0,9.0,8.0,10.0,5.0,,8.0,15.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,
2026-04-30,LRI+P4A,Maariv,501.0,26.0,28.0,,,9.0,8.0,7.0,8.0,5.0,,10.0,14.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Midgam R&C,HaHadashot 12,503.0,25.0,25.0,,,9.0,9.0,8.0,9.0,5.0,,11.0,14.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,SF+ND,Channel 14,721.0,34.0,16.0,5.0,,8.0,10.0,8.0,8.0,5.0,,8.0,13.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-07,Yossi Tatika,Zman Yisrael,500.0,26.0,26.0,,,7.0,9.0,8.0,9.0,5.0,,8.0,14.0,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,
2026-05-07,LRI+P4A,Maariv,503.0,26.0,26.0,,,9.0,8.0,7.0,9.0,5.0,,10.0,15.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-12,Kantar,Kan 11,557.0,26.0,25.0,,,9.0,9.0,7.0,9.0,5.0,,10.0,15.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,LRI+P4A,Maariv,502.0,25.0,26.0,,,8.0,9.0,7.0,9.0,5.0,,10.0,16.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,MM+SN,Channel 13,,25.0,26.0,4.0,,10.0,10.0,7.0,7.0,5.0,,9.0,12.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-13,Kantar,Israel Hayom,,26.0,24.0,,,9.0,9.0,7.0,8.0,5.0,,10.0,16.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-14,Midgam R&C,HaHadashot 12,506.0,26.0,24.0,,,9.0,9.0,8.0,9.0,5.0,,10.0,15.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-14,SF+ND,Channel 14,436.0,33.0,16.0,5.0,,8.0,10.0,7.0,7.0,6.0,,9.0,14.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-14,Yossi Tatika,Zman Yisrael,500.0,24.0,24.0,4.0,,8.0,9.0,8.0,10.0,6.0,,8.0,15.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-19,Direct Polls,i24 News,546.0,30.0,15.0,4.0,,8.0,10.0,8.0,8.0,6.0,,9.0,17.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-20,LRI+P4A,Maariv,500.0,24.0,25.0,4.0,,8.0,8.0,7.0,9.0,5.0,,10.0,15.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-20,Yossi Tatika,Zman Yisrael,500.0,24.0,23.0,4.0,,6.0,9.0,8.0,9.0,5.0,,8.0,16.0,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,
2026-05-20,Kantar,Kan 11,551.0,27.0,23.0,,,9.0,9.0,8.0,8.0,5.0,,10.0,16.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-20,Midgam R&C,HaHadashot 12,501.0,25.0,23.0,4.0,,7.0,9.0,8.0,8.0,5.0,,10.0,16.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-21,LRI+P4A,Maariv,,24.0,25.0,4.0,,8.0,8.0,7.0,9.0,5.0,,10.0,15.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-25,MM+SN,Channel 13,,25.0,23.0,4.0,,10.0,10.0,7.0,8.0,4.0,,9.0,14.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,Kantar,Israel Hayom,,25.0,22.0,4.0,,8.0,9.0,7.0,9.0,5.0,,9.0,17.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-28,SF+ND,Channel 14,615.0,33.0,15.0,5.0,,7.0,11.0,7.0,8.0,5.0,,9.0,15.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-28,Yossi Tatika,Zman Yisrael,500.0,24.0,22.0,4.0,,6.0,10.0,8.0,10.0,5.0,,8.0,18.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-05-28,Midgam R&C,HaHadashot 12,504.0,23.0,22.0,4.0,,8.0,8.0,8.0,9.0,5.0,,11.0,17.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-03,Direct Polls,i24 News,515.0,30.0,14.0,5.0,,8.0,9.0,8.0,9.0,6.0,,10.0,16.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-04,Yossi Tatika,Zman Yisrael,500.0,23.0,21.0,4.0,,6.0,9.0,8.0,10.0,4.0,,8.0,19.0,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,
2026-06-04,Midgam R&C,HaHadashot 12,505.0,23.0,21.0,4.0,,8.0,9.0,7.0,9.0,5.0,,10.0,19.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-04,Kantar,Kan 11,551.0,24.0,23.0,4.0,,10.0,8.0,7.0,8.0,4.0,,9.0,17.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-04,LRI+P4A,Maariv,500.0,25.0,23.0,,,9.0,9.0,7.0,10.0,4.0,,10.0,17.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-05,SF+ND,Channel 14,,32.0,14.0,5.0,,9.0,10.0,7.0,8.0,5.0,,9.0,16.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,LRI+P4A,Maariv,500.0,22.0,21.0,4.0,,9.0,8.0,7.0,9.0,4.0,,10.0,17.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Yossi Tatika,Zman Yisrael,500.0,24.0,21.0,,,8.0,10.0,8.0,10.0,5.0,,8.0,21.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Kantar,Israel Hayom,,24.0,19.0,4.0,,9.0,9.0,7.0,9.0,4.0,,9.0,20.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-11,Midgam R&C,HaHadashot 12,501.0,22.0,20.0,4.0,,9.0,9.0,7.0,8.0,5.0,,11.0,20.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,Kantar,Kan 11,555.0,23.0,17.0,4.0,,9.0,9.0,7.0,10.0,4.0,,9.0,21.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-17,MP+TM+SN+A,Channel 13,,22.0,17.0,4.0,,8.0,9.0,8.0,11.0,4.0,,11.0,20.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,LRI+P4A,Maariv,501.0,21.0,20.0,4.0,,8.0,9.0,7.0,10.0,4.0,,10.0,21.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,Yossi Tatika,Zman Yisrael,500.0,23.0,19.0,,,9.0,10.0,8.0,10.0,5.0,,8.0,23.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,Midgam R&C,HaHadashot 12,,22.0,19.0,4.0,,9.0,9.0,7.0,9.0,5.0,,10.0,21.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-24,Kantar,Kan 11,553.0,24.0,16.0,5.0,,9.0,8.0,7.0,10.0,4.0,,9.0,22.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-24,MP+TM+SN+A,Channel 13,,23.0,15.0,5.0,,9.0,8.0,8.0,12.0,4.0,,10.0,20.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-25,Yossi Tatika,Zman Yisrael,500.0,21.0,17.0,4.0,,8.0,10.0,7.0,11.0,4.0,,7.0,23.0,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,
2026-06-25,LRI+P4A,Maariv,500.0,22.0,18.0,4.0,,9.0,8.0,7.0,11.0,4.0,,10.0,21.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-25,SF+ND,Channel 14,654.0,33.0,9.0,4.0,,7.0,11.0,8.0,9.0,5.0,,9.0,20.0,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,
2026-06-25,Midgam R&C,HaHadashot 12,504.0,23.0,18.0,4.0,,9.0,9.0,7.0,9.0,4.0,,10.0,21.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-25,Kantar,Israel Hayom,,24.0,16.0,4.0,,9.0,8.0,8.0,9.0,4.0,,10.0,21.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,
2026-06-29,Midgam R&C,HaHadashot 12,,24.0,17.0,4.0,,8.0,9.0,7.0,9.0,5.0,,10.0,22.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,MP+TM+SN+A`,Channel 13,1108.0,21.0,17.0,5.0,,8.0,9.0,8.0,10.0,5.0,,11.0,20.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,LRI+P4A,Maariv,606.0,21.0,19.0,5.0,,8.0,8.0,8.0,10.0,5.0,,10.0,20.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-07-02,Yossi Tatika,Zman Yisrael,500.0,22.0,16.0,5.0,,8.0,10.0,8.0,11.0,4.0,,8.0,23.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,
2026-07-05,Kantar,Kan 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,41.0,19.0,19.0
2026-07-06,Midgam R&C,HaHadashot 12,503.0,23.0,16.0,4.0,,9.0,8.0,8.0,9.0,4.0,,10.0,23.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-07-08,MP+TM+SN+A,Channel 13,,22.0,15.0,5.0,,8.0,8.0,8.0,10.0,5.0,,10.0,23.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-07-09,LRI+P4A,Maariv,500.0,21.0,18.0,4.0,,8.0,8.0,8.0,10.0,5.0,,10.0,22.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
2026-07-09,SF+ND,Channel 14,752.0,33.0,8.0,5.0,,7.0,10.0,8.0,8.0,5.0,,10.0,21.0,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,
2026-07-09,Kantar,Israel Hayom,,24.0,14.0,4.0,,8.0,8.0,9.0,8.0,5.0,,8.0,23.0,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,
