date,pollster,publisher,sample,Likud,Yesh Atid,Blue & White,Joint List,Shas,UTJ,Yisrael Beiteinu,Meretz,Ra'am,Yamina,New Hope,Labor,Religious Zionist,New Economic,YB,NEP,RZ,Israelis,Yesh Atid -Telem,Labor- Meretz,B&W,Labor+ Israelis+ Tnufa,RZ+ JH+ OY,NH,RZ +Otzma +Noam,Labor+ Israelis,Labor +Israelis +Tnufa +NEP +Telem,Yesh Atid +Israelis,Israelis +Labor,Israelis +Labor +Telem +Tnufa,RZ +OY,Yesh Atid +Labor +Israelis +Tnufa +NEP +B&W,Yesh Atid- Telem +Israelis,New Hope +Yamina,Yesh Atid +Labor +Shelah +Israelis +Meretz,Labor +Shelah +Huldai +Nissenkorn,Huldai,"Huldai, Eizenkot & Ya'alon",Eizenkot & Huldai,Eizenkot,Shasha- Biton,Shulman
2020-07-06,Midgam,Channel 12,,37.0,,11.0,15.0,9.0,7.0,8.0,7.0,,11.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08,Direct Polls,–,,36.0,,9.0,16.0,10.0,7.0,8.0,6.0,,11.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-07-09,Panels Politics,Maariv,,36.0,,10.0,15.0,9.0,7.0,9.0,6.0,,12.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
2020-07-12,Camil Fuchs,Channel 13,,33.0,,9.0,16.0,7.0,8.0,8.0,7.0,,13.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,
2020-07-14,Panels Politics,103fm,,34.0,,9.0,15.0,9.0,7.0,9.0,7.0,,14.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
2020-07-22,Direct Polls,–,,35.0,,12.0,16.0,9.0,7.0,8.0,4.0,,11.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-07-23,Maagar Mohot,103fm,,35.0,,12.0,15.0,9.0,8.0,8.0,5.0,,11.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-07-23,Panels Politics,Maariv,,32.0,,9.0,15.0,10.0,8.0,9.0,7.0,,12.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-07-23,Midgam,Channel 12,,32.0,,9.0,15.0,8.0,8.0,7.0,8.0,,15.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-07-23,Camil Fuchs,Channel 13,,31.0,,11.0,15.0,6.0,7.0,8.0,7.0,,16.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,
2020-07-28,Panels Politics,103fm,,31.0,,10.0,16.0,9.0,7.0,8.0,7.0,,13.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,
2020-07-30,Maagar Mohot,Israel Hayom,,33.0,,12.0,16.0,9.0,8.0,8.0,5.0,,12.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-04,Direct Polls,Srugim,,35.0,,9.0,16.0,10.0,7.0,8.0,5.0,,12.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-06,Kantar,Kan 11,,30.0,,12.0,16.0,9.0,8.0,7.0,6.0,,15.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-06,Camil Fuchs,Channel 13,,29.0,,8.0,15.0,8.0,7.0,8.0,7.0,,19.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-06,Maagar Mohot,103fm,,32.0,,11.0,16.0,10.0,8.0,8.0,5.0,,12.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-07,Midgam,Channel 12,,31.0,,12.0,15.0,8.0,8.0,7.0,6.0,,16.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-10,Geocartographia,Maariv,,29.0,,13.0,14.0,7.0,9.0,7.0,8.0,,14.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-12,Direct Polls,Makor Rishon,,32.0,,10.0,15.0,9.0,8.0,9.0,5.0,,14.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13,Panels Politics,Maariv,,27.0,,9.0,15.0,8.0,7.0,9.0,7.0,,18.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-16,Midgam,Channel 12,,30.0,,12.0,15.0,7.0,8.0,8.0,6.0,,18.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-16,Camil Fuchs,Channel 13,,33.0,,10.0,12.0,7.0,6.0,7.0,6.0,,19.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-19,Panels Politics,Maariv,,29.0,,9.0,14.0,8.0,7.0,9.0,5.0,,19.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-20,Direct Polls,Israel Hayom,,31.0,,8.0,14.0,10.0,7.0,9.0,6.0,,16.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-21,Maagar Mohot,103fm,,32.0,,10.0,15.0,8.0,8.0,8.0,5.0,,15.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-23,Camil Fuchs,Channel 13,,31.0,,11.0,13.0,7.0,7.0,8.0,6.0,,18.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,
2020-08-27,Panels Politics,Maariv,,28.0,,10.0,14.0,8.0,7.0,9.0,7.0,,17.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
2020-09-04,Midgam,Channel 12,,31.0,,11.0,15.0,8.0,7.0,9.0,7.0,,19.0,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,
2020-09-04,Midgam/iPanel,Channel 12,,31.0,,11.0,15.0,8.0,7.0,8.0,6.0,,19.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2020-09-07,Camil Fuchs,Channel 13,,31.0,,11.0,13.0,7.0,7.0,6.0,6.0,,21.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,Maagar Mohot,Israel Hayom,,33.0,,11.0,17.0,9.0,7.0,8.0,5.0,,19.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,Panels Politics,103fm,,30.0,,8.0,15.0,9.0,7.0,8.0,6.0,,21.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
2020-09-16,Camil Fuchs,Channel 13,,30.0,,8.0,12.0,7.0,7.0,8.0,8.0,,22.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-09-16,Direct Polls,Arutz Sheva,,30.0,,8.0,14.0,9.0,7.0,9.0,6.0,,20.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-09-23,Midgam/iPanel,Channel 12,,29.0,,9.0,15.0,9.0,7.0,8.0,5.0,,21.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,Direct Polls,Ice,,31.0,,7.0,13.0,9.0,7.0,9.0,6.0,,20.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,Midgam/iPanel,Channel 12,,26.0,,9.0,15.0,9.0,7.0,8.0,5.0,,23.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07,Maagar Mohot,Channel 20,,28.0,,9.0,16.0,9.0,9.0,7.0,6.0,,21.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,Panels Politics,Maariv,,27.0,,10.0,15.0,9.0,7.0,9.0,5.0,,22.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
2020-10-12,Panels Politics,Maariv,,28.0,,9.0,14.0,9.0,7.0,9.0,6.0,,21.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,Maagar Mohot,103fm,,28.0,,9.0,16.0,9.0,9.0,7.0,6.0,,21.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,Midgam/iPanel,Channel 12,,27.0,,10.0,15.0,9.0,7.0,7.0,6.0,,22.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,Camil Fuchs,Channel 13,,27.0,,8.0,11.0,8.0,7.0,8.0,6.0,,24.0,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,Panels Politics,Maariv,,30.0,,9.0,12.0,9.0,7.0,8.0,7.0,,20.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-10-28,Panels Politics,Maariv,,28.0,,10.0,12.0,9.0,8.0,9.0,6.0,,21.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,Maagar Mohot,103fm,,28.0,,10.0,14.0,9.0,8.0,8.0,6.0,,20.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,Camil Fuchs,Channel 13,,29.0,,10.0,12.0,7.0,7.0,7.0,6.0,,22.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-02,Panels Politics,103fm,,29.0,,9.0,12.0,8.0,7.0,8.0,6.0,,22.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-07,Midgam/iPanel,Channel 12,,28.0,,11.0,13.0,8.0,8.0,7.0,6.0,,22.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,Direct Polls,–,,30.0,,9.0,13.0,8.0,8.0,9.0,5.0,,20.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,Maagar Mohot,103fm,,29.0,,9.0,15.0,9.0,8.0,8.0,5.0,,21.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13,Panels Politics,Maariv,,30.0,,9.0,11.0,9.0,8.0,8.0,5.0,,23.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-16,Geocartographia,i24 News,,28.0,,12.0,12.0,9.0,8.0,5.0,6.0,,25.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-17,Camil Fuchs,Channel 13,,29.0,,10.0,11.0,8.0,6.0,7.0,7.0,,22.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,Panels Politics,Maariv,,27.0,,10.0,11.0,9.0,7.0,8.0,6.0,,24.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-24,Kantar,Kan 11,,31.0,,9.0,11.0,9.0,7.0,9.0,6.0,,21.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-24,Camil Fuchs,Channel 13,,27.0,,10.0,11.0,7.0,7.0,8.0,6.0,,23.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-26,Maagar Mohot,103fm,,30.0,,9.0,13.0,9.0,8.0,7.0,5.0,,22.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-27,Panels Politics,Maariv,,29.0,,9.0,11.0,8.0,7.0,8.0,6.0,,23.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,
2020-11-27,Midgam/iPanel,Channel 12,,30.0,,9.0,13.0,8.0,8.0,8.0,6.0,,20.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,Panels Politics,103fm,,28.0,,8.0,12.0,8.0,7.0,8.0,5.0,,22.0,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,4.0,,
2020-12-02,Camil Fuchs,Channel 13,,29.0,,10.0,11.0,7.0,7.0,8.0,7.0,,22.0,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03,Midgam/iPanel,Channel 12,,30.0,,10.0,12.0,8.0,8.0,7.0,7.0,,21.0,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-08,Panels Politics,103fm,,25.0,,6.0,11.0,9.0,7.0,7.0,5.0,,19.0,17.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09,Kantar,Kan 11,,25.0,,7.0,11.0,8.0,7.0,6.0,6.0,,17.0,18.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09,Midgam/iPanel,Channel 12,,26.0,,6.0,11.0,8.0,8.0,6.0,6.0,,18.0,16.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09,Camil Fuchs,Channel 13,,28.0,,6.0,11.0,7.0,7.0,7.0,7.0,,16.0,15.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09,Direct Polls,–,,28.0,,6.0,11.0,10.0,8.0,8.0,4.0,,16.0,16.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-10,Panels Politics,Maariv,,27.0,,7.0,12.0,9.0,7.0,8.0,5.0,,16.0,16.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-11,Maagar Mohot,Israel Hayom,,28.0,,7.0,13.0,9.0,7.0,6.0,6.0,,12.0,20.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,Midgam/iPanel,Channel 12,,28.0,,6.0,11.0,8.0,8.0,6.0,6.0,,13.0,17.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,4.0,,,,,
2020-12-15,Panels Politics,103fm,,27.0,,5.0,11.0,8.0,8.0,7.0,5.0,,14.0,20.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-16,Maagar Mohot,103fm,,27.0,,7.0,11.0,8.0,8.0,8.0,6.0,,11.0,20.0,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-17,Panels Politics,Maariv,,29.0,,7.0,11.0,8.0,8.0,7.0,5.0,,13.0,19.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-20,Camil Fuchs,Channel 13,,28.0,,5.0,11.0,7.0,7.0,6.0,7.0,,14.0,19.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-21,Panels Politics,Knesset Channel,,29.0,,6.0,11.0,8.0,7.0,7.0,5.0,,14.0,20.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,Midgam/iPanel,Channel 12,,29.0,,5.0,11.0,8.0,8.0,7.0,5.0,,13.0,18.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,Panels Politics,103fm,,28.0,,5.0,11.0,8.0,8.0,7.0,6.0,,14.0,18.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,Kantar,Kan 11,,28.0,,6.0,11.0,8.0,7.0,6.0,6.0,,15.0,20.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,Panels Politics,103fm,,25.0,,4.0,11.0,8.0,7.0,7.0,6.0,,15.0,22.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-24,Panels Politics,Maariv,,26.0,,4.0,11.0,8.0,7.0,,7.0,,14.0,21.0,,,,7.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-27,Midgam/iPanel,Channel 12,,28.0,,5.0,11.0,8.0,8.0,7.0,5.0,,13.0,19.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-29,Panels Politics,103fm,,26.0,,4.0,12.0,8.0,7.0,,5.0,,13.0,17.0,,,,8.0,,,8.0,12.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,Midgam/iPanel,Channel 12,,28.0,,4.0,11.0,8.0,8.0,,5.0,,12.0,17.0,,,,6.0,,,8.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,Camil Fuchs,Channel 13,,29.0,,5.0,10.0,8.0,8.0,,5.0,,12.0,17.0,,,,6.0,,,9.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,Kantar,Kan 11,,28.0,,4.0,11.0,8.0,7.0,,4.0,,14.0,18.0,,,,5.0,,,8.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,Panels Politics,Maariv,,29.0,,,11.0,8.0,8.0,,5.0,,13.0,17.0,,,,7.0,,,8.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,Midgam/iPanel,Channel 12,,27.0,,5.0,10.0,8.0,8.0,,5.0,,14.0,18.0,,,,6.0,,,6.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,Smith,The Jerusalem Post,,31.0,,,11.0,8.0,8.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,22.0,29.0,,,,,,,,
2021-01-07,Panels Politics,Maariv,,28.0,,4.0,10.0,8.0,7.0,,5.0,,13.0,18.0,,,,7.0,,,6.0,14.0,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,Camil Fuchs,Channel 13,,31.0,,4.0,10.0,7.0,7.0,,5.0,,13.0,16.0,,,,6.0,,,5.0,16.0,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,Panels Politics,103fm,,27.0,13.0,4.0,10.0,8.0,7.0,,4.0,,14.0,17.0,,,,7.0,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,Midgam/iPanel,Channel 12,,29.0,13.0,5.0,10.0,8.0,8.0,7.0,5.0,,13.0,16.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,Panels Politics,Maariv,,32.0,14.0,5.0,11.0,8.0,8.0,,6.0,,12.0,17.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,Maagar Mohot,Channel 20,,29.0,13.0,4.0,12.0,9.0,7.0,,5.0,,10.0,14.0,,,,7.0,,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-18,Panels Politics,103fm,,30.0,14.0,4.0,10.0,8.0,6.0,,5.0,,11.0,17.0,,,,7.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,Midgam/iPanel,Channel 12,,29.0,14.0,,10.0,8.0,8.0,,6.0,,11.0,14.0,,,,7.0,,,4.0,,,5.0,,,,,,,,,,4.0,,,,,,,,,,,
2021-01-21,Panels Politics,Maariv,,31.0,16.0,4.0,10.0,8.0,8.0,,5.0,,11.0,16.0,,,,7.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-24,Camil Fuchs,Channel 13,,32.0,,,10.0,6.0,7.0,,5.0,,10.0,14.0,4.0,,,6.0,,,,,,4.0,,,,,,,22.0,,,,,,,,,,,,,,
2021-01-24,Panels Politics,103fm,,31.0,16.0,4.0,10.0,7.0,7.0,,5.0,,11.0,14.0,,,,7.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,Midgam/iPanel,Channel 12,,27.0,16.0,,10.0,8.0,8.0,,5.0,,12.0,14.0,4.0,,,7.0,,,,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,
2021-01-28,Maagar Mohot,Israel Hayom,,28.0,15.0,5.0,11.0,9.0,7.0,6.0,6.0,,11.0,13.0,5.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,Panels Politics,Maariv,,30.0,18.0,4.0,10.0,8.0,8.0,,5.0,,12.0,14.0,4.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,Midgam/iPanel,Channel 12,,30.0,17.0,4.0,10.0,8.0,8.0,,4.0,,13.0,14.0,5.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,Panels Politics,103fm,,30.0,18.0,,10.0,8.0,8.0,,4.0,,12.0,13.0,5.0,,,7.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
2021-02-02,Camil Fuchs,Channel 13,,29.0,16.0,,10.0,7.0,8.0,,5.0,,10.0,16.0,,,,7.0,,,,,,4.0,8.0,,,,,,,,,,,,,,,,,,,,
2021-02-04,Panels Politics,Maariv,,29.0,16.0,,10.0,8.0,7.0,8.0,5.0,,11.0,16.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,Midgam/iPanel,Channel 12,,29.0,17.0,4.0,9.0,8.0,7.0,7.0,4.0,,11.0,14.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,Camil Fuchs,Channel 13,,30.0,17.0,4.0,7.0,7.0,6.0,5.0,4.0,4.0,11.0,13.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,Panels Politics,103fm,,30.0,18.0,4.0,8.0,8.0,7.0,7.0,4.0,,11.0,14.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,Direct Polls,–,,31.0,14.0,4.0,7.0,8.0,7.0,9.0,,4.0,11.0,14.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,Maagar Mohot,Channel 20,,31.0,18.0,5.0,10.0,8.0,7.0,6.0,4.0,,10.0,11.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,Kantar,Kan 11,,29.0,18.0,4.0,9.0,8.0,7.0,6.0,,,13.0,14.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,Midgam/iPanel,Channel 12,,28.0,18.0,4.0,9.0,8.0,7.0,7.0,4.0,,11.0,13.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,Panels Politics,Maariv,,28.0,19.0,4.0,8.0,8.0,7.0,7.0,4.0,,12.0,13.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,Maagar Mohot,Israel Hayom,,29.0,16.0,5.0,10.0,9.0,7.0,6.0,5.0,,10.0,13.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,Panels Politics,103fm,,29.0,18.0,,9.0,8.0,7.0,7.0,4.0,,13.0,14.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,Camil Fuchs,Channel 13,,28.0,17.0,4.0,8.0,7.0,7.0,5.0,5.0,4.0,11.0,13.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,Midgam/iPanel,Channel 12,,29.0,18.0,4.0,9.0,8.0,7.0,7.0,4.0,,10.0,13.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,Panels Politics,Maariv,,28.0,18.0,,9.0,8.0,7.0,8.0,5.0,,12.0,15.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,Midgam/iPanel,Channel 12,,28.0,18.0,5.0,9.0,8.0,7.0,7.0,4.0,,11.0,13.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,Panels Politics,103fm,,28.0,18.0,4.0,9.0,8.0,7.0,7.0,4.0,,12.0,13.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,Kantar,Kan 11,,29.0,18.0,4.0,9.0,8.0,7.0,7.0,4.0,,11.0,13.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,Panels Politics,Maariv,,29.0,17.0,5.0,9.0,8.0,7.0,7.0,4.0,,11.0,14.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,Camil Fuchs,Channel 13,,27.0,18.0,4.0,8.0,7.0,7.0,6.0,5.0,4.0,11.0,13.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,Panels Politics,103fm,,28.0,19.0,4.0,9.0,8.0,7.0,7.0,4.0,,11.0,13.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,Camil Fuchs,Channel 13,,27.0,19.0,4.0,8.0,7.0,7.0,7.0,4.0,4.0,11.0,11.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
