date,pollster,publisher,sample,Likud,Labor,Blue & White,Kulanu,Shas,UTJ,URWP,Yisrael Beiteinu,Meretz,Hadash -Ta'al,New Right,Ra'am -Balad,Zehut,Gesher,Joint List,Yesh Atid,Jewish Home,Ta'al,Hosen- Telem,Hatnuah,Hosen,Zionist Union,Labor+ Meretz,Hosen Yisrael
2019-01-04,Maagar Mochot/Radio 103 FM,,,29.0,7.0,,6.0,4.0,7.0,,5.0,6.0,,8.0,,,5.0,10.0,13.0,,,,4.0,12.0,,,
2019-01-05,Shvakim Panorama/Israel Beitenu,,,26.0,8.0,,5.0,7.0,7.0,,8.0,6.0,,6.0,,,4.0,12.0,10.0,4.0,,,4.0,13.0,,,
2019-01-08,Panels Politics/Walla! News,,,32.0,8.0,,5.0,5.0,7.0,,4.0,5.0,,8.0,,,4.0,12.0,13.0,5.0,,,,12.0,,,
2019-01-16,TNS/Kan,,,31.0,7.0,,6.0,5.0,6.0,,4.0,5.0,,7.0,,,6.0,12.0,10.0,4.0,,13.0,4.0,,,,
2019-01-16,Midgam/Channel 12,,,32.0,9.0,,4.0,6.0,7.0,,6.0,5.0,,8.0,,,4.0,6.0,14.0,,6.0,13.0,,,,,
2019-01-17,Panels Politics/Walla!,,,33.0,8.0,,5.0,4.0,7.0,,4.0,5.0,,9.0,,,4.0,10.0,15.0,4.0,,12.0,,,,,
2019-01-17,Teleseker/Saloona,,,28.0,8.0,,5.0,5.0,7.0,,4.0,5.0,,9.0,,,5.0,12.0,13.0,4.0,,15.0,,,,,
2019-01-22,Midgam/Army Radio,,,29.0,9.0,,5.0,6.0,7.0,,5.0,5.0,,7.0,,,5.0,6.0,13.0,4.0,6.0,13.0,,,,,
2019-01-24,Direct Polls/Reshet Bet,,,31.0,9.0,,4.0,5.0,6.0,,5.0,6.0,,8.0,,,4.0,6.0,11.0,4.0,6.0,15.0,,,,,
2019-01-30,Panel Project HaMidgam/Channel 13,,,30.0,6.0,,4.0,5.0,6.0,,4.0,4.0,,6.0,,,4.0,6.0,9.0,4.0,8.0,24.0,,,,,
2019-01-30,Panels Politics/Walla! News,,,29.0,7.0,,5.0,4.0,7.0,,5.0,5.0,,7.0,,,4.0,7.0,12.0,4.0,5.0,19.0,,,,,
2019-01-30,Direct Polls/Kan,,,31.0,8.0,,4.0,4.0,6.0,,5.0,6.0,,8.0,,,,6.0,9.0,4.0,6.0,23.0,,,,,
2019-01-30,Midgam/Channel 12,,,30.0,6.0,,5.0,5.0,7.0,,4.0,4.0,,7.0,,,4.0,6.0,11.0,4.0,6.0,21.0,,,,,
2019-02-01,Panels Politics/Maariv,,,31.0,6.0,,5.0,4.0,7.0,,5.0,5.0,,6.0,,,4.0,5.0,12.0,4.0,6.0,20.0,,,,,
2019-02-04,Dialog/Haaretz,,,30.0,5.0,,5.0,5.0,6.0,,5.0,4.0,,7.0,,,4.0,7.0,9.0,6.0,5.0,22.0,,,,,
2019-02-06,Direct Polls/Kan,,,32.0,6.0,,4.0,5.0,6.0,,5.0,4.0,,7.0,,,,6.0,11.0,5.0,7.0,22.0,,,,,
2019-02-06,Smith/Channel 20,,,30.0,5.0,,5.0,5.0,6.0,,5.0,6.0,,8.0,,,4.0,6.0,12.0,,6.0,22.0,,,,,
2019-02-07,Maagar Mochot/Israel Hayom & i24 News,,,35.0,5.0,,,6.0,9.0,,,7.0,,7.0,,,5.0,11.0,14.0,,,21.0,,,,,
2019-02-07,Panels Politics/Walla! News,,,34.0,5.0,,5.0,4.0,7.0,,,5.0,,6.0,,,,7.0,13.0,6.0,6.0,22.0,,,,,
2019-02-07,Panel Project HaMidgam/Channel 13,,,32.0,5.0,,4.0,5.0,5.0,,4.0,4.0,,9.0,,,,7.0,10.0,5.0,6.0,24.0,,,,,
2019-02-07,Midgam/Channel 12,,,32.0,7.0,,5.0,6.0,7.0,,5.0,5.0,,8.0,,,,5.0,11.0,,7.0,22.0,,,,,
2019-02-08,Direct Polls/Makor Rishon,,,32.0,7.0,,,6.0,7.0,,5.0,5.0,,8.0,,,,5.0,11.0,4.0,7.0,23.0,,,,,
2019-02-08,Teleseker,,,29.0,,,5.0,5.0,6.0,,4.0,,,6.0,,,5.0,7.0,9.0,4.0,5.0,,,,,12.0,23.0
2019-02-12,Midgam/Labor,,,30.0,9.0,,6.0,6.0,7.0,,4.0,5.0,,7.0,,,4.0,5.0,11.0,,7.0,19.0,,,,,
2019-02-12,Panel Project HaMidgam/Channel 13,,,32.0,8.0,,5.0,6.0,7.0,,4.0,5.0,,8.0,,,,6.0,11.0,,7.0,21.0,,,,,
2019-02-13,Direct Polls/Kan,,,30.0,11.0,,4.0,5.0,7.0,,6.0,4.0,,10.0,,,,6.0,11.0,,6.0,20.0,,,,,
2019-02-14,Maagar Mochot/i24 News/Israel Hayom,,,32.0,8.0,,,4.0,9.0,,,7.0,,6.0,,5.0,4.0,9.0,12.0,,5.0,19.0,,,,,
2019-02-16,Direct Polls/Kan,,,30.0,10.0,,4.0,5.0,6.0,,5.0,5.0,,8.0,,,,6.0,10.0,5.0,6.0,20.0,,,,,
2019-02-17,Midgam/Channel 12,,,30.0,10.0,,5.0,6.0,7.0,,4.0,5.0,,7.0,,,,5.0,12.0,4.0,7.0,18.0,,,,,
2019-02-17,Channel 13,,,32.0,5.0,,4.0,4.0,6.0,,4.0,4.0,,9.0,,,,7.0,10.0,5.0,6.0,24.0,,,,,
2019-02-20,Panels Politics/Walla! News,,,31.0,9.0,,4.0,4.0,7.0,,,5.0,,8.0,,,4.0,5.0,13.0,5.0,6.0,19.0,,,,,
2019-02-21,Direct polls/Kan,,,32.0,8.0,35.0,,6.0,6.0,6.0,5.0,4.0,11.0,7.0,,,,,,,,,,,,,
2019-02-21,Midgam/Channel 12,,,30.0,8.0,36.0,4.0,5.0,7.0,4.0,4.0,4.0,6.0,6.0,6.0,,,,,,,,,,,,
2019-02-21,Midgam/Yediot Ahronot,,,30.0,8.0,36.0,4.0,5.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,,,,,,,,,,,,
2019-02-21,Panels Politics/Maariv,,,29.0,7.0,35.0,4.0,5.0,7.0,6.0,4.0,4.0,6.0,8.0,5.0,,,,,,,,,,,,
2019-02-21,Panel HaMidgam Project/Statnet/Channel 13,,,26.0,5.0,36.0,4.0,6.0,7.0,8.0,5.0,4.0,10.0,5.0,4.0,,,,,,,,,,,,
2019-02-21,Direct polls/Makor Rishon,,,32.0,7.0,35.0,,5.0,7.0,6.0,5.0,4.0,11.0,8.0,,,,,,,,,,,,,
2019-02-22,Maagar Mochot/Radio 103 FM,,,27.0,6.0,34.0,4.0,4.0,6.0,7.0,4.0,5.0,6.0,6.0,8.0,,,,,,,,,,,,
2019-02-24,Maagar Mochot/Israel Hayom & i24 News,,,31.0,8.0,36.0,,7.0,7.0,8.0,,7.0,7.0,9.0,,,,,,,,,,,,,
2019-02-24,Midgam/iPanel/Yediot Ahronot,,,29.0,9.0,35.0,4.0,5.0,7.0,5.0,4.0,4.0,7.0,6.0,5.0,,,,,,,,,,,,
2019-02-27,Number 10 Strategies/The Times of Israel,,,29.0,8.0,36.0,4.0,4.0,7.0,5.0,4.0,4.0,7.0,8.0,4.0,,,,,,,,,,,,
2019-02-28,Panels Politics/Maariv,,,29.0,6.0,35.0,5.0,5.0,7.0,7.0,4.0,5.0,11.0,6.0,,,,,,,,,,,,,
2019-02-28,Maagar Mochot/Israel Hayom & i24 News,,,29.0,7.0,38.0,4.0,6.0,6.0,9.0,,6.0,7.0,8.0,,,,,,,,,,,,,
2019-03-01,TNS/Kan,,,29.0,6.0,37.0,5.0,6.0,7.0,5.0,,6.0,7.0,7.0,5.0,,,,,,,,,,,,
2019-03-01,Panel HaMidgam Project/Statnet/Channel 13,,,30.0,6.0,36.0,4.0,6.0,7.0,7.0,,6.0,9.0,5.0,4.0,,,,,,,,,,,,
2019-03-01,Maagar Mohot/Radio 103FM & Maariv,,,25.0,7.0,37.0,5.0,6.0,6.0,10.0,,6.0,7.0,8.0,,,,,,,,,,,,,
2019-03-03,Panels Politics/Channel 12,,,30.0,8.0,38.0,5.0,4.0,7.0,7.0,,6.0,9.0,6.0,,,,,,,,,,,,,
2019-03-05,TNS/Kan,,,30.0,7.0,35.0,5.0,5.0,7.0,5.0,,5.0,8.0,5.0,4.0,4.0,,,,,,,,,,,
2019-03-05,Smith/Channel 20,,,29.0,7.0,31.0,4.0,5.0,6.0,6.0,4.0,5.0,9.0,6.0,4.0,,4.0,,,,,,,,,,
2019-03-05,Midgam/Channel 12,,,30.0,9.0,36.0,5.0,6.0,7.0,6.0,,4.0,8.0,5.0,4.0,,,,,,,,,,,,
2019-03-05,Panels Politics/Walla! News,,,31.0,8.0,36.0,6.0,4.0,7.0,7.0,,6.0,9.0,6.0,,,,,,,,,,,,,
2019-03-07,Dialog/Haaretz,,,28.0,10.0,31.0,4.0,5.0,7.0,8.0,,4.0,8.0,7.0,4.0,4.0,,,,,,,,,,,
2019-03-07,Maagar Mochot/Israel Hayom & i24 News,,,26.0,8.0,33.0,4.0,4.0,8.0,8.0,,8.0,9.0,8.0,,4.0,,,,,,,,,,,
2019-03-08,Maagar Mohot/Radio 103FM,,,29.0,8.0,35.0,5.0,6.0,8.0,7.0,,7.0,9.0,6.0,,,,,,,,,,,,,
2019-03-08,Midgam/iPanel/Yediot Ahronot,,,29.0,10.0,33.0,4.0,6.0,7.0,6.0,4.0,5.0,7.0,5.0,4.0,,,,,,,,,,,,
2019-03-11,Panel HaMidgam Project/Statnet/Channel 13,,,28.0,7.0,31.0,4.0,5.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0,4.0,,,,,,,,,,,
2019-03-13,Direct Polls/Makor Rishon,,,32.0,10.0,32.0,,6.0,7.0,7.0,,6.0,9.0,7.0,,4.0,,,,,,,,,,,
2019-03-14,Midgam/iPanel/Channel 12,,,28.0,10.0,31.0,4.0,6.0,7.0,7.0,4.0,4.0,7.0,4.0,4.0,4.0,,,,,,,,,,,
2019-03-14,Maagar Mochot/Israel Hayom & i24 News,,,26.0,7.0,33.0,5.0,5.0,7.0,7.0,5.0,8.0,6.0,6.0,,5.0,,,,,,,,,,,
2019-03-17,Direct Polls/Kan,,,31.0,9.0,30.0,,6.0,6.0,6.0,4.0,6.0,8.0,6.0,4.0,4.0,,,,,,,,,,,
2019-03-18,Miskar,,,31.0,8.0,29.0,,6.0,6.0,9.0,,5.0,7.0,8.0,5.0,6.0,,,,,,,,,,,
2019-03-19,Panels Politics/Walla!,,,32.0,8.0,29.0,4.0,4.0,6.0,7.0,5.0,6.0,9.0,6.0,,4.0,,,,,,,,,,,
2019-03-20,Panel Project HaMidgam/Channel 13,,,29.0,9.0,31.0,5.0,5.0,7.0,7.0,,5.0,7.0,6.0,4.0,5.0,,,,,,,,,,,
2019-03-20,Midgam/iPanel/Channel 12,,,27.0,10.0,32.0,4.0,5.0,7.0,5.0,4.0,4.0,8.0,6.0,4.0,4.0,,,,,,,,,,,
2019-03-22,Panels Politics/Maariv,,,31.0,9.0,30.0,4.0,4.0,7.0,6.0,5.0,6.0,9.0,5.0,,4.0,,,,,,,,,,,
2019-03-22,Maagar Mochot/Israel Hayom & i24 News,,,26.0,9.0,30.0,4.0,4.0,6.0,7.0,4.0,6.0,5.0,5.0,4.0,6.0,4.0,,,,,,,,,,
2019-03-22,Smith/Jerusalem Post,,,27.0,8.0,30.0,5.0,6.0,7.0,6.0,4.0,5.0,8.0,6.0,4.0,4.0,,,,,,,,,,,
2019-03-24,Panel Project HaMidgam/Statnet/Channel 13,,,28.0,10.0,31.0,5.0,5.0,6.0,8.0,,5.0,7.0,5.0,4.0,6.0,,,,,,,,,,,
2019-03-24,Midgam/Channel 12,,,28.0,10.0,32.0,,6.0,7.0,5.0,4.0,4.0,7.0,5.0,4.0,4.0,4.0,,,,,,,,,,
2019-03-26,Miskar,,,31.0,7.0,30.0,,6.0,6.0,9.0,,5.0,8.0,7.0,4.0,7.0,,,,,,,,,,,
2019-03-26,Midgam/Army Radio,,,28.0,10.0,30.0,4.0,6.0,7.0,5.0,4.0,5.0,8.0,5.0,,4.0,4.0,,,,,,,,,,
2019-03-26,TNS/Kan,,,28.0,8.0,30.0,6.0,6.0,7.0,5.0,,5.0,7.0,7.0,5.0,6.0,,,,,,,,,,,
2019-03-27,Panels Politics/Walla!,,,31.0,9.0,30.0,4.0,4.0,7.0,7.0,4.0,5.0,8.0,6.0,,5.0,,,,,,,,,,,
2019-03-28,Direct Polls/Makor Rishon,,,30.0,9.0,29.0,4.0,6.0,6.0,7.0,,6.0,8.0,7.0,4.0,4.0,,,,,,,,,,,
2019-03-28,Panel Project HaMidgam/Statnet/Channel 13,,,30.0,10.0,30.0,4.0,4.0,7.0,7.0,,5.0,7.0,5.0,4.0,7.0,,,,,,,,,,,
2019-03-28,Smith/Maariv,,,29.0,8.0,30.0,4.0,6.0,6.0,6.0,4.0,5.0,7.0,7.0,4.0,4.0,,,,,,,,,,,
2019-03-28,Maagar Mohot/Israel Hayom & i24 News,,,28.0,8.0,32.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,,6.0,,,,,,,,,,,
2019-03-28,Midgam/Yedioth Ahronoth,,,27.0,9.0,31.0,5.0,5.0,7.0,5.0,4.0,5.0,7.0,6.0,4.0,5.0,,,,,,,,,,,
2019-03-29,Maagar Mohot/Radio 103 FM,,,29.0,8.0,31.0,5.0,6.0,7.0,7.0,4.0,5.0,7.0,6.0,,5.0,,,,,,,,,,,
2019-03-31,Panels Politics/Channel 12,,,31.0,9.0,30.0,4.0,5.0,6.0,5.0,4.0,6.0,9.0,6.0,,5.0,,,,,,,,,,,
2019-03-31,Midgam/iPanel/Channel 12,,,28.0,8.0,32.0,5.0,6.0,6.0,5.0,4.0,5.0,7.0,5.0,4.0,5.0,,,,,,,,,,,
2019-03-31,Panels/National Union of Students,,,13.0,14.0,47.0,,,,7.0,,15.0,,7.0,,17.0,,,,,,,,,,,
2019-04-02,Panel Project HaMidgam/Statnet/Channel 13,,,29.0,14.0,28.0,4.0,5.0,6.0,7.0,,5.0,6.0,5.0,5.0,6.0,,,,,,,,,,,
2019-04-03,Dialog/Haaretz,,,30.0,10.0,27.0,5.0,5.0,6.0,7.0,4.0,5.0,7.0,5.0,4.0,5.0,,,,,,,,,,,
2019-04-03,Panels Politics/Walla!,,,29.0,10.0,30.0,,5.0,6.0,7.0,4.0,6.0,8.0,6.0,4.0,5.0,,,,,,,,,,,
2019-04-04,Miskar,,,31.0,10.0,28.0,,6.0,6.0,8.0,,5.0,7.0,7.0,4.0,8.0,,,,,,,,,,,
2019-04-04,Maagar Mohot/Israel Hayom & i24 News,,,27.0,10.0,32.0,6.0,5.0,8.0,6.0,,8.0,6.0,6.0,,6.0,,,,,,,,,,,
2019-04-04,Midgam/Yedioth Ahronoth,,,26.0,11.0,30.0,5.0,5.0,7.0,5.0,4.0,5.0,7.0,6.0,4.0,5.0,,,,,,,,,,,
2019-04-04,Smith/Jerusalem Post,,,27.0,9.0,28.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,4.0,4.0,4.0,,,,,,,,,,
2019-04-04,TNS/Kan,,,31.0,8.0,30.0,5.0,4.0,6.0,6.0,,6.0,8.0,6.0,4.0,6.0,,,,,,,,,,,
2019-04-04,Midgam/iPanel/Channel 12,,,26.0,10.0,30.0,5.0,5.0,7.0,5.0,5.0,5.0,7.0,6.0,4.0,5.0,,,,,,,,,,,
2019-04-05,Maagar Mohot/Radio 103FM,,,28.0,9.0,31.0,6.0,6.0,7.0,7.0,,7.0,7.0,6.0,,6.0,,,,,,,,,,,
2019-04-05,Smith/Maariv,,,27.0,9.0,29.0,5.0,6.0,7.0,6.0,4.0,5.0,7.0,6.0,4.0,5.0,,,,,,,,,,,
2019-04-05,Panel Project HaMidgam/Statnet/Channel 13,,,28.0,11.0,28.0,4.0,5.0,6.0,7.0,4.0,5.0,6.0,6.0,4.0,6.0,,,,,,,,,,,
2019-04-09,Channel 13 exit poll,,,36.0,7.0,36.0,4.0,7.0,7.0,4.0,4.0,4.0,7.0,4.0,,,,,,,,,,,,,
2019-04-09,Channel 12 exit poll,,,33.0,6.0,37.0,4.0,6.0,7.0,5.0,5.0,5.0,6.0,,6.0,,,,,,,,,,,,
2019-04-09,Channel 11 exit poll,,,36.0,8.0,37.0,5.0,7.0,7.0,5.0,4.0,5.0,6.0,,,,,,,,,,,,,,
